open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1697586412000.00,28395.41,28395.42,28395.41,28395.42,0.00177,1697586412999.00,50.2598905,2,0.00148,42.0252216,0
1697586413000.00,28395.42,28395.42,28395.42,28395.42,0,1697586413999.00,0,0,0,0,0
1697586414000.00,28395.41,28395.42,28395.41,28395.41,0.42298,1697586414999.00,12010.69123,11,0.07104,2017.210637,0
1697586415000.00,28395.42,28396.93,28395.42,28396.93,2.43862,1697586415999.00,69246.11075,82,2.43672,69192.15771,0
1697586416000.00,28397.04,28397.04,28397.04,28397.04,0.01482,1697586416999.00,420.8441328,3,0.01482,420.8441328,0
1697586417000.00,28397.04,28399.92,28397.04,28399.92,1.35879,1697586417999.00,38586.25845,63,1.35651,38521.50807,0
1697586418000.00,28399.92,28399.92,28399.92,28399.92,0,1697586418999.00,0,0,0,0,0
1697586419000.00,28399.93,28399.93,28399.92,28399.93,0.09449,1697586419999.00,2683.508855,40,0.04143,1176.6091,0
1697586420000.00,28399.93,28399.93,28399.92,28399.92,0.13756,1697586420999.00,3906.694165,21,0.11695,3321.371814,0
1697586421000.00,28399.92,28399.92,28399.92,28399.92,0,1697586421999.00,0,0,0,0,0
1697586422000.00,28399.92,28399.93,28399.92,28399.92,0.1379,1697586422999.00,3916.349252,3,0.02841,806.8420113,0
1697586423000.00,28399.92,28399.92,28399.92,28399.92,0.00021,1697586423999.00,5.9639832,1,0,0,0
1697586424000.00,28399.92,28399.93,28399.92,28399.93,0.26772,1697586424999.00,7603.229217,4,0.26344,7481.677559,0
1697586425000.00,28399.93,28399.93,28399.93,28399.93,0.00091,1697586425999.00,25.8439363,2,0.00091,25.8439363,0
1697586426000.00,28399.92,28399.92,28399.92,28399.92,0.00852,1697586426999.00,241.9673184,1,0,0,0
1697586427000.00,28399.92,28399.92,28399.92,28399.92,0,1697586427999.00,0,0,0,0,0
1697586428000.00,28399.92,28399.92,28399.92,28399.92,0.00217,1697586428999.00,61.6278264,1,0,0,0
1697586429000.00,28399.93,28399.93,28399.92,28399.92,0.05367,1697586429999.00,1524.224227,6,0.05203,1477.648358,0
1697586430000.00,28399.92,28399.93,28399.92,28399.93,0.00629,1697586430999.00,178.6355002,3,0.00034,9.6559762,0
1697586431000.00,28399.93,28399.93,28399.93,28399.93,0,1697586431999.00,0,0,0,0,0
1697586432000.00,28399.92,28399.93,28399.92,28399.93,0.00237,1697586432999.00,67.3078204,2,0.001,28.39993,0
1697586433000.00,28399.92,28399.92,28399.33,28399.34,1.10763,1697586433999.00,31456.31178,20,0.00066,18.7435644,0
1697586434000.00,28399.34,28399.34,28399.34,28399.34,0,1697586434999.00,0,0,0,0,0
1697586435000.00,28399.33,28399.34,28399.33,28399.33,0.0081,1697586435999.00,230.0346049,4,0.00319,90.5938946,0
1697586436000.00,28399.34,28399.34,28399.33,28399.33,0.02789,1697586436999.00,792.0574916,2,0.01779,505.2242586,0
1697586437000.00,28399.34,28399.34,28398.51,28398.51,0.53472,1697586437999.00,15185.68161,21,0.24644,6998.73335,0
